L1_Category_name,L1_Category_id,L2_Category_name,L2_Category_id,L3_Category_name,L3_Category_id,L4_Category_name,L4_Category_id,L5_Category_name,L5_Category_id
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Xinjiang Restaurant,52af3b913cf9994f4e043c06,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Yunnan Restaurant,52af3b9a3cf9994f4e043c07,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Zhejiang Restaurant,52af3ba23cf9994f4e043c08,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Filipino Restaurant,4eb1bd1c3b7b55596b4a748f,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Himalayan Restaurant,52e81612bcbc57f1066b79fb,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Hotpot Restaurant,52af0bd33cf9994f4e043bdd,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Indonesian Restaurant,4deefc054765f83613cdba6f,Acehnese Restaurant,52960eda3cf9994f4e043ac9,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Indonesian Restaurant,4deefc054765f83613cdba6f,Balinese Restaurant,52960eda3cf9994f4e043acb,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Indonesian Restaurant,4deefc054765f83613cdba6f,Betawinese Restaurant,52960eda3cf9994f4e043aca,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Indonesian Restaurant,4deefc054765f83613cdba6f,Indonesian Meatball Place,52960eda3cf9994f4e043acc,,
